2048
1.831949E-4
 0.00000000000000E+0000   0.00000000000000E+0000
 1.83194919394225E-0004   3.29425203575706E-0004
 3.66389838788450E-0004   1.55111083635262E-0003
 5.49584758182675E-0004   3.47331613778934E-0003
 7.32779677576900E-0004   5.75230772051327E-0003
 9.15974596971125E-0004   8.01739500982990E-0003
 1.09916951636535E-0003   9.96954949330586E-0003
 1.28236443575958E-0003   1.14512175523345E-0002
 1.46555935515380E-0003   1.24685591517846E-0002
 1.64875427454803E-0003   1.31613967349296E-0002
 1.83194919394225E-0003   1.37329142533389E-0002
 2.01514411333648E-0003   1.43639008759209E-0002
 2.19833903273070E-0003   1.51409200918380E-0002
 2.38153395212493E-0003   1.60227520259184E-0002
 2.56472887151915E-0003   1.68564706457062E-0002
 2.74792379091338E-0003   1.74378163293625E-0002
 2.93111871030760E-0003   1.75955483633459E-0002
 3.11431362970183E-0003   1.72710960604547E-0002
 3.29750854909605E-0003   1.65658215619260E-0002
 3.48070346849028E-0003   1.57382869398361E-0002
 3.66389838788450E-0003   1.51498672812380E-0002
 3.84709330727873E-0003   1.51737469545452E-0002
 4.03028822667295E-0003   1.60943968917024E-0002
 4.21348314606718E-0003   1.80281506627011E-0002
 4.39667806546140E-0003   2.08893060270725E-0002
 4.57987298485563E-0003   2.44122216282108E-0002
 4.76306790424985E-0003   2.82225934865323E-0002
 4.94626282364408E-0003   3.19359887741371E-0002
 5.12945774303830E-0003   3.52535901117790E-0002
 5.31265266243253E-0003   3.80265238239872E-0002
 5.49584758182675E-0003   4.02706076202435E-0002
 5.67904250122098E-0003   4.21294561410832E-0002
 5.86223742061520E-0003   4.38004259347622E-0002
 6.04543234000943E-0003   4.54495408055209E-0002
 6.22862725940365E-0003   4.71445820698477E-0002
 6.41182217879788E-0003   4.88290163210081E-0002
 6.59501709819210E-0003   5.03455179142520E-0002
 6.77821201758633E-0003   5.15010705687473E-0002
 6.96140693698055E-0003   5.21514724048870E-0002
 7.14460185637478E-0003   5.22761477198515E-0002
 7.32779677576900E-0003   5.20167734263168E-0002
 7.51099169516323E-0003   5.16645636545832E-0002
 7.69418661455745E-0003   5.15974988060748E-0002
 7.87738153395878E-0003   5.21850476025065E-0002
 8.06057645334590E-0003   5.36887633089691E-0002
 8.24377137274723E-0003   5.61890197712387E-0002
 8.42696629213435E-0003   5.95604370377600E-0002
 8.61016121153568E-0003   6.35036581793429E-0002
 8.79335613092280E-0003   6.76238091818959E-0002
 8.97655105032413E-0003   7.15317171533343E-0002
 9.15974596971125E-0003   7.49373061896677E-0002
 9.34294088911258E-0003   7.77076224613893E-0002
 9.52613580849970E-0003   7.98736397595121E-0002
 9.70933072790103E-0003   8.15865678663386E-0002
 9.89252564728815E-0003   8.30404825293272E-0002
 1.00757205666895E-0002   8.43885444986654E-0002
 1.02589154860766E-0002   8.56815417267853E-0002
 1.04421104054779E-0002   8.68495496455353E-0002
 1.06253053248651E-0002   8.77327786116666E-0002
 1.08085002442664E-0002   8.81509785017442E-0002
 1.09916951636535E-0002   8.79875489650885E-0002
 1.11748900830548E-0002   8.72590865180882E-0002
 1.13580850024420E-0002   8.61452889428165E-0002
 1.15412799218433E-0002   8.49666263436575E-0002
 1.17244748412304E-0002   8.41139776229056E-0002
 1.19076697606317E-0002   8.39501162682836E-0002
 1.20908646800189E-0002   8.47124405275963E-0002
 1.22740595994202E-0002   8.64465803676921E-0002
 1.24572545188073E-0002   8.89913485779061E-0002
 1.26404494382086E-0002   9.20198244461972E-0002
 1.28236443575958E-0002   9.51241458784580E-0002
 1.30068392769971E-0002   9.79183128641807E-0002
 1.31900341963842E-0002   1.00128180755064E-0001
 1.33732291157855E-0002   1.01642440043975E-0001
 1.35564240351727E-0002   1.02511210751572E-0001
 1.37396189545740E-0002   1.02895767346013E-0001
 1.39228138739611E-0002   1.02988411438446E-0001
 1.41060087933624E-0002   1.02930649168798E-0001
 1.42892037127496E-0002   1.02757702248482E-0001
 1.44723986321509E-0002   1.02388082369657E-0001
 1.46555935515380E-0002   1.01661551180996E-0001
 1.48387884709393E-0002   1.00412309720923E-0001
 1.50219833903265E-0002   9.85520947940586E-0002
 1.52051783097278E-0002   9.61339930074701E-0002
 1.53883732291149E-0002   9.33735182783266E-0002
 1.55715681485162E-0002   9.06170280603646E-0002
 1.57547630679176E-0002   8.82645390431662E-0002
 1.59379579872905E-0002   8.66689714965787E-0002
 1.61211529066918E-0002   8.60419581676979E-0002
 1.63043478260931E-0002   8.63949451984354E-0002
 1.64875427454945E-0002   8.75337848513027E-0002
 1.66707376648674E-0002   8.91086954817411E-0002
 1.68539325842687E-0002   9.07045275456539E-0002
 1.70371275036700E-0002   9.19441075674285E-0002
 1.72203224230714E-0002   9.25738868749022E-0002
 1.74035173424443E-0002   9.25072849423714E-0002
 1.75867122618456E-0002   9.18149638888508E-0002
 1.77699071812469E-0002   9.06683212015196E-0002
 1.79531021006483E-0002   8.92572518014276E-0002
 1.81362970200212E-0002   8.77109761061092E-0002
 1.83194919394225E-0002   8.60490066244211E-0002
 1.85026868588238E-0002   8.41787476335867E-0002
 1.86858817782252E-0002   8.19402701023364E-0002
 1.88690766975981E-0002   7.91826933764241E-0002
 1.90522716169994E-0002   7.58456022240352E-0002
 1.92354665364007E-0002   7.20166456363813E-0002
 1.94186614558021E-0002   6.79436925023538E-0002
 1.96018563751750E-0002   6.39943672989602E-0002
 1.97850512945763E-0002   6.05728179022549E-0002
 1.99682462139776E-0002   5.80176854672914E-0002
 2.01514411333790E-0002   5.65118771742732E-0002
